[2020-06-17 15:40:24] INFO [<module>: config.py, 10] hello
[2020-06-17 15:50:08] DEBUG [_new_conn: connectionpool.py, 226] Starting new HTTP connection (1): 115.28.108.130:5000
[2020-06-17 15:50:08] DEBUG [_make_request: connectionpool.py, 433] http://115.28.108.130:5000 "POST /api/user/login/ HTTP/1.1" 200 21
[2020-06-17 15:51:08] DEBUG [_new_conn: connectionpool.py, 226] Starting new HTTP connection (1): 115.28.108.130:5000
[2020-06-17 15:51:08] DEBUG [_make_request: connectionpool.py, 433] http://115.28.108.130:5000 "POST /api/user/login/ HTTP/1.1" 200 21
[2020-06-17 15:52:22] DEBUG [_new_conn: connectionpool.py, 226] Starting new HTTP connection (1): 115.28.108.130:5000
[2020-06-17 15:52:22] DEBUG [_make_request: connectionpool.py, 433] http://115.28.108.130:5000 "POST /api/user/login/ HTTP/1.1" 200 21
[2020-06-17 15:52:22] INFO [test_user_login_normal: test_user_login.py, 22] 测试用例：test_user_login_normal
[2020-06-17 15:52:22] INFO [test_user_login_normal: test_user_login.py, 23] url：http://115.28.108.130:5000/api/user/login/
[2020-06-17 15:52:22] INFO [test_user_login_normal: test_user_login.py, 24] 请求参数：{"name": "张三","password":"123456"}
[2020-06-17 15:52:22] INFO [test_user_login_normal: test_user_login.py, 25] 期望结果：<h1>登录成功</h1>
[2020-06-17 15:52:22] INFO [test_user_login_normal: test_user_login.py, 26] 实际结果：<h1>登录成功</h1>
[2020-06-17 15:58:25] DEBUG [_new_conn: connectionpool.py, 226] Starting new HTTP connection (1): 115.28.108.130:5000
[2020-06-17 15:58:25] DEBUG [_make_request: connectionpool.py, 433] http://115.28.108.130:5000 "POST /api/user/login/ HTTP/1.1" 200 21
[2020-06-17 15:58:25] INFO [log_case_info: case_log.py, 7] 测试用例：test_user_login_normal
[2020-06-17 15:58:25] INFO [log_case_info: case_log.py, 8] url：http://115.28.108.130:5000/api/user/login/
[2020-06-17 15:58:25] INFO [log_case_info: case_log.py, 9] 请求参数：{"name": "张三","password":"123456"}
[2020-06-17 15:58:25] INFO [log_case_info: case_log.py, 10] 期望结果：<h1>登录成功</h1>
